one_unit,two_unit,three_unit,four_unit
726200,929850,1123900,1396800
726525,930300,1124475,1397400
740600,948100,1146050,1424250
744050,952500,1151400,1430900
763600,977550,1181650,1468500
787750,1008450,1219000,1514950
805000,1030550,1245700,1548100
828000,1060000,1281300,1592350
845250,1082100,1308000,1625500
856750,1096800,1325800,1647650
861350,1102700,1332900,1656450
862500,1104150,1334700,1658700
874000,1118900,1352450,1680800
890100,1139500,1377400,1711750
911950,1167450,1411200,1753800
915400,1171900,1416550,1760400
948750,1214600,1468150,1824550
953350,1220450,1475250,1833400
977500,1251400,1512650,1879850
1017750,1302900,1574900,1957250
1075250,1376550,1663900,2067850
1089300,1394775,1685850,2095200
472030,604400,730525,907900
517500,662500,800800,995200
530150,678700,820350,1019550
497950,637450,770550,957600
508300,650700,786550,977500
546250,699300,845300,1050500
693450,887750,1073100,1333600
644000,824450,996550,1238500
656650,840650,1016150,1262800
685400,877450,1060600,1318100
488750,625700,756300,939900
600300,768500,928950,1154450
669300,856800,1035700,1287150
519800,665450,804350,999600
596850,764050,923600,1147800
614100,786150,950300,1181000
506000,647750,783000,973100
555450,711050,859500,1068200
707250,905400,1094450,1360100
529000,677200,818600,1017300
526700,674250,815050,1012900
557750,714000,863100,1072600
672750,861250,1041050,1293750
500250,640400,774100,962050
603750,772900,934250,1161050
592250,758200,916450,1138950
516350,661000,799000,993000
515200,659550,797250,990800
586500,750800,907550,1127900
523250,669850,809700,1006250
492200,630100,761650,946550
572700,733150,886200,1101350
573850,734650,888000,1103550
701500,898050,1085550,1349050
661250,846500,1023250,1271650
632500,809700,978750,1216350
524400,671300,811450,1008450
532450,681650,823950,1023950
499100,638950,772300,959800
553150,708150,855950,1063750
703800,901000,1089100,1353500
539350,690450,834600,1037200
504850,646300,781200,970850
507150,649250,784800,975300
602600,771450,932500,1158850
502550,643350,777650,966450
483000,618300,747400,928850
477250,610950,738500,917800
548550,702250,848850,1054900
583050,746400,902250,1121250
503700,644800,779450,968650
494500,633050,765200,950950
657800,842100,1017900,1265000
621000,795000,960950,1194250
560050,716950,866650,1077050
690000,883300,1067750,1326950
671600,859750,1039250,1291550
481850,616850,745650,926650
485300,621250,750950,933300
538200,689000,832850,1035000
571550,731700,884450,1099150
531300,680150,822150,1021750
543950,696350,841750,1046050
601450,769950,930700,1156650
619850,793500,959200,1192050
593400,759650,918250,1141150
575000,736100,889800,1105800
563500,721400,872000,1083650
474950,608000,734950,913350
545100,697800,843500,1048300
489900,627150,758100,942100
1045350,1338250,1617650,2010350
533600,683100,825700,1026150
770500,986400,1192300,1481750
962550,1232250,1489500,1851100
581900,744950,900450,1119050
