fha_loans,state_abbr,state,,county_name,median_home_value,gse_type,gse_1,gse_2,gse_3,gse_4," gse_1,gse_2,gse_3,gse_4, ",limit_type,fha_1,fha_2,fha_3,fha_4,"fha_1,fha_2,fha_3,fha_4",
AL-001,AL, ALABAMA ,001,AUTAUGA COUNTY,190000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","472030,604400,730525,907900"
AL-003,AL, ALABAMA ,003,BALDWIN COUNTY,275000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","517500,662500,800800,995200"
AL-005,AL, ALABAMA ,005,BARBOUR COUNTY,119000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","530150,678700,820350,1019550"
AL-007,AL, ALABAMA ,007,BIBB COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","497950,637450,770550,957600"
AL-009,AL, ALABAMA ,009,BLOUNT COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","508300,650700,786550,977500"
AL-011,AL, ALABAMA ,011,BULLOCK COUNTY,103000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","546250,699300,845300,1050500"
AL-013,AL, ALABAMA ,013,BUTLER COUNTY,135000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","693450,887750,1073100,1333600"
AL-015,AL, ALABAMA ,015,CALHOUN COUNTY,125000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","644000,824450,996550,1238500"
AL-017,AL, ALABAMA ,017,CHAMBERS COUNTY,175000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","656650,840650,1016150,1262800"
AL-019,AL, ALABAMA ,019,CHEROKEE COUNTY,135000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","685400,877450,1060600,1318100"
AL-021,AL, ALABAMA ,021,CHILTON COUNTY,293000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","488750,625700,756300,939900"
AL-023,AL, ALABAMA ,023,CHOCTAW COUNTY,104000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","600300,768500,928950,1154450"
AL-025,AL, ALABAMA ,025,CLARKE COUNTY,146000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","669300,856800,1035700,1287150"
AL-027,AL, ALABAMA ,027,CLAY COUNTY,66000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","519800,665450,804350,999600"
AL-029,AL, ALABAMA ,029,CLEBURNE COUNTY,163000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","596850,764050,923600,1147800"
AL-031,AL, ALABAMA ,031,COFFEE COUNTY,165000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","614100,786150,950300,1181000"
AL-033,AL, ALABAMA ,033,COLBERT COUNTY,151000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","506000,647750,783000,973100"
AL-035,AL, ALABAMA ,035,CONECUH COUNTY,115000,,726200,929850,1123900,1396800," 726200,929850,1123900,1396800, ", S ,472030,604400,730525,907900,"472030,604400,730525,907900","555450,711050,859500,1068200"
